"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,1.80606193213111,0.314,0.098,0,"0","OASL"
0,1.32900456284491,0.417,0.201,0,"0","MCUB"
0,1.95852192390453,0.305,0.09,0,"0","SULF2"
0,0.968750044067287,0.541,0.327,0,"0","PALLD"
0,1.5598583046694,0.337,0.124,0,"0","OAS2"
0,0.673344281450849,0.724,0.511,0,"0","PLCB1"
0,0.874533785723339,0.82,0.608,0,"0","WLS"
0,0.831137883463818,0.72,0.508,0,"0","MSX1"
0,1.40635621011865,0.371,0.16,0,"0","TAP1"
0,1.01756284163943,0.574,0.363,0,"0","PLEKHA5"
0,0.983920220589147,0.503,0.294,0,"0","ZNRF3"
0,1.36637574832116,0.413,0.204,0,"0","OLFM3"
0,1.43493441179729,0.375,0.167,0,"0","LRRN1"
0,0.788305693406041,0.753,0.547,0,"0","LSAMP"
0,0.890624906265725,0.59,0.384,0,"0","PSAT1"
0,0.870199725161083,0.49,0.285,0,"0","CNTNAP2"
0,1.39771921004945,0.356,0.151,0,"0","OAS3"
0,1.10894291836159,0.345,0.14,0,"0","GABRG3"
0,0.940616742691915,0.616,0.412,0,"0","CACHD1"
0,1.11138229480835,0.411,0.208,0,"0","ROR1"
0,1.70561815422959,0.399,0.197,0,"0","TNFRSF11B"
0,1.26304329893395,0.973,0.771,0,"0","ISG15"
0,1.28674870481662,0.397,0.197,0,"0","TFPI"
0,0.990131882528367,0.42,0.22,0,"0","GNAL"
0,1.59018210602381,0.32,0.121,0,"0","IFIH1"
0,0.722768383702529,0.761,0.562,0,"0","ID4"
0,1.29907077370378,0.99,0.791,0,"0","HLA-B"
0,0.834155985961397,0.569,0.37,0,"0","PON2"
0,0.930323502229561,0.569,0.372,0,"0","CPVL"
0,0.612311167497355,0.814,0.617,0,"0","SYNE2"
0,0.715078758070069,0.794,0.599,0,"0","RCN1"
0,1.74561575454918,0.276,0.081,0,"0","LRRC3B"
0,1.85204154028897,0.274,0.079,0,"0","DEPTOR"
0,1.13149915320527,0.42,0.226,0,"0","COL4A6"
0,1.90571740982345,0.284,0.091,0,"0","RASD1"
0,1.20987505049694,0.398,0.206,0,"0","CUX2"
0,1.3380901772244,0.336,0.145,0,"0","DDX60"
0,0.93043300968947,0.819,0.629,0,"0","FOS"
0,0.58936167369373,0.783,0.594,0,"0","TTC3"
0,1.37692200519526,0.336,0.147,0,"0","C5orf56"
0,1.11234148841932,0.352,0.164,0,"0","LMNB1"
0,2.30989030064164,0.252,0.065,0,"0","TSPAN8"
0,1.69441799115257,0.287,0.1,0,"0","PIEZO2"
0,0.908294702831684,0.704,0.517,0,"0","IER2"
0,1.28598260009934,0.351,0.165,0,"0","PHYHIPL"
0,1.19599014687488,0.348,0.163,0,"0","NHS"
0,1.31212379500185,0.314,0.134,0,"0","DAB1"
0,1.45120991618162,0.319,0.139,0,"0","CDK6"
0,0.701082083684564,0.729,0.549,0,"0","EMC2"
0,1.70652883822194,0.27,0.093,0,"0","TRIM22"
0,1.40831264011434,0.303,0.127,0,"0","IL1RAPL1"
0,0.776061440984558,0.93,0.756,0,"0","SPATS2L"
0,0.529200778933996,0.928,0.756,0,"0","ID1"
0,1.46133555129063,0.258,0.088,0,"0","ATP1A2"
0,1.54766627243494,0.262,0.093,0,"0","NRCAM"
0,1.47692646434039,0.275,0.109,0,"0","HLA-F"
0,1.5142371131657,0.289,0.123,0,"0","GBP1"
0,1.54321958521792,0.283,0.118,0,"0","CD82"
0,1.50873745158008,0.261,0.102,0,"0","CMPK2"
0,0.944710260978558,0.999,0.847,0,"0","IFI27"
0,0.514391234169878,0.938,0.786,0,"0","PDIA3"
0,0.624107592658281,0.852,0.701,0,"0","KAZN"
0,0.798700952294771,0.956,0.806,0,"0","ID3"
0,0.972484990059251,0.993,0.866,0,"0","APOE"
0,1.15514811418319,0.992,0.867,0,"0","PTGDS"
0,0.56832799006464,0.981,0.87,0,"0","ITM2B"
0,0.926985429693305,0.999,0.9,0,"0","IFITM3"
0,1.12449579604534,0.996,0.905,0,"0","CLU"
0,0.92875557121915,0.999,0.909,0,"0","IFI6"
0,1.02030070977622,1,0.939,0,"0","B2M"
0,0.497913579280836,0.998,0.956,0,"0","GSTP1"
0,0.56536652626409,1,0.967,0,"0","MALAT1"
4.40792304597919e-304,0.892375014842919,0.515,0.313,1.32726970837479e-299,"0","IRF9"
1.78290952146695e-301,1.49913621246167,0.275,0.114,5.36851886008913e-297,"0","ITGA6"
2.05310933071217e-300,0.857507688206223,0.524,0.319,6.18211750570742e-296,"0","LINC00461"
1.54562299486566e-299,0.970463606060957,0.471,0.269,4.65402539984e-295,"0","DIPK2A"
2.96439505062985e-297,0.945393476276712,0.602,0.415,8.92608993695154e-293,"0","SDK1"
4.54554704424036e-297,1.1579876098058,0.421,0.23,1.36870967049121e-292,"0","PSME4"
1.18560074503999e-293,1.17712391542304,0.36,0.178,3.5699624033899e-289,"0","SP110"
1.23241345966509e-292,1.40519762399652,0.32,0.151,3.71092016839756e-288,"0","ABHD6"
5.75140337809969e-292,1.36714882963846,0.308,0.141,1.7318050711796e-287,"0","SELENBP1"
3.00663350939353e-291,1.64736217620768,0.312,0.143,9.05327416013484e-287,"0","IFIT2"
4.7983704259342e-290,0.489976386370306,0.886,0.737,1.44483731895305e-285,"0","PSAP"
1.04516608773746e-289,0.919325519041699,0.533,0.344,3.14709960678627e-285,"0","AKIRIN2"
1.9058063602006e-289,1.61031274088183,0.4,0.221,5.73857353120003e-285,"0","CYTL1"
3.88078128603453e-289,0.996523558757023,0.492,0.304,1.16854205303786e-284,"0","SMAD2"
3.15178942364468e-287,0.700858917566677,0.664,0.484,9.49035313353648e-283,"0","PSME2"
1.02661356335826e-286,0.922255546753608,0.354,0.173,3.09123610062805e-282,"0","NFIA-AS2"
1.63353066193953e-282,0.941194122298024,0.75,0.573,4.91872417616611e-278,"0","CXCL14"
8.49144682270133e-282,0.886371150895473,0.531,0.347,2.5568595527836e-277,"0","UBE2H"
4.63360699524151e-281,0.791353648813976,0.568,0.376,1.39522540233717e-276,"0","ZSWIM6"
1.14342846277919e-280,0.557914897823828,0.772,0.616,3.44297744427442e-276,"0","SON"
1.23681140587182e-280,0.60660215431879,0.634,0.437,3.72416282422064e-276,"0","TBC1D5"
6.28935608701392e-280,0.696763121001571,0.612,0.424,1.89378801136076e-275,"0","CLYBL"
6.40584761784788e-280,0.838651870758884,0.512,0.319,1.92886477621018e-275,"0","CEP112"
1.4403282512574e-278,1.25915474509746,0.32,0.151,4.33697239736115e-274,"0","GPCPD1"
1.7582073877931e-278,0.517406676057071,0.777,0.619,5.29413826538381e-274,"0","DDX24"
3.35273852712704e-276,0.419610258083765,0.946,0.847,1.00954309790322e-271,"0","CALM2"
2.48261978348549e-275,1.33658622761816,0.292,0.132,7.47541643005317e-271,"0","TENM4"
2.18874231119565e-273,0.646480739917839,0.722,0.55,6.59052197324121e-269,"0","LGALS3BP"
1.73191054284342e-271,1.17335355807153,0.292,0.13,5.21495583555583e-267,"0","SEMA6A"
8.82994894319118e-271,0.86495592418084,0.465,0.278,2.65878592628429e-266,"0","HDAC4"
1.56917520821946e-268,0.763906806176083,0.564,0.372,4.72494346946963e-264,"0","AC104041.1"
1.23716135697202e-264,0.758637762380779,0.576,0.386,3.72521656197846e-260,"0","RORA"
2.79876471441892e-262,0.792427850944886,0.507,0.311,8.42736043158681e-258,"0","AL033504.1"
6.79260556592787e-260,0.906010978713204,0.55,0.365,2.04532146195654e-255,"0","HMGCS1"
9.29599223115955e-258,1.08029853571,0.395,0.219,2.79911622072445e-253,"0","CD83"
9.39669098881777e-255,1.23925189198726,0.282,0.128,2.82943762364292e-250,"0","BTN3A2"
5.00812207948324e-254,1.0356690020411,0.408,0.234,1.5079956393532e-249,"0","LINC00472"
8.68284153908095e-253,1.11979606186711,0.412,0.241,2.61449041583267e-248,"0","RAB3IP"
1.03910908714187e-251,1.32071549836325,0.271,0.122,3.12886137229287e-247,"0","MASP1"
3.71394064644159e-249,0.849543751242007,0.547,0.37,1.11830466805003e-244,"0","PPIC"
5.38392541243853e-247,1.02904302016901,0.441,0.266,1.62115378093937e-242,"0","JUNB"
1.63035801719988e-246,1.09477692627616,0.371,0.203,4.90917102559056e-242,"0","SNCAIP"
1.57617435076938e-244,0.994162009311081,0.48,0.305,4.74601858760167e-240,"0","ATP2B1"
3.42902976381586e-244,0.981918626376888,0.432,0.259,1.03251515218259e-239,"0","SAMHD1"
1.34175393583893e-241,0.777516743145266,0.539,0.356,4.04015527620459e-237,"0","MFAP2"
2.03884115443683e-241,0.952746071699315,0.415,0.238,6.13915460012474e-237,"0","GAREM1"
2.06231184617745e-241,1.003490481695,0.405,0.234,6.20982720002493e-237,"0","RRBP1"
8.11090290680856e-239,0.659986206093949,0.615,0.445,2.44227397426912e-234,"0","CHD9"
2.37822592957491e-235,0.300343184385042,0.978,0.906,7.161076096543e-231,"0","SKP1"
1.93071419595771e-234,0.434796241930149,0.631,0.448,5.81357351544826e-230,"0","LY6H"
2.75806192179816e-232,0.77426078418708,0.382,0.207,8.30480025272645e-228,"0","DACH1"
8.16166078369512e-231,0.335195546127106,0.855,0.708,2.45755767857844e-226,"0","PTMS"
5.59745613908494e-230,1.20862991605798,0.271,0.126,1.68545001803987e-225,"0","CDH11"
7.79066180639632e-229,1.2258236870467,0.303,0.152,2.345846176524e-224,"0","ATL2"
1.05649039880783e-228,0.813073578230153,0.525,0.359,3.18119823985026e-224,"0","TJP1"
7.20905858581219e-227,0.81751648782584,0.481,0.307,2.17071963077391e-222,"0","PCSK6"
1.25952241258104e-224,0.323232622270326,0.478,0.289,3.79254793652278e-220,"0","BCKDHB"
